보습,세정,영양 공급,유분 조절,탄력,보호,재생,진정,청결,피부 개선,항산화,항염,균형 조절,방부제,색소 및 착색제
정제수,다이프로필렌글라이콜,판테놀,다이페닐다이메티콘,나이아신아마이드,토코페롤,판테놀,알란토인,다이프로필렌글라이콜,나이아신아마이드,토코페롤,판테놀,락토바실러스/콜라겐발효여과물,"1,2-헥산다이올",향료
글리세린,폴리글리세릴-10라우레이트,아데노신,트라이에틸헥사노인,아세틸테트라펩타이드-5,시어버터,아데노신,판테놀,글리세릴스테아레이트시트레이트,아데노신,멜론씨추출물,알란토인,락토바실러스/콜라겐/아이스플랜트잎추출물발효용해물,에틸헥실글리세린,리모넨
나이아신아마이드,소듐클로라이드,아세틸테트라펩타이드-5,베타인,헥사펩타이드-8,벤질살리실레이트,알란토인,서양송악잎/줄기추출물,글리세릴올리에이트,판테놀,아스코빌팔미테이트,다마스크장미꽃수,아스코빌팔미테이트,아이리쉬모스추출물,리날룰
소듐하이알루로네이트,소듐바이카보네이트,헥사펩타이드-9,카프릴릴글라이콜,헥사펩타이드-67팔미테이트,헥실신남알,락토바실러스/콜라겐발효여과물,라벤더오일,다이메틸실란올하이알루로네이트,서양송악잎/줄기추출물,포도추출물,라벤더오일,피토스핑고신,락토바실러스발효물,시트로넬올
소듐파이테이트,포타슘클로라이드,아세틸헥사펩타이드-8,카프릴릴/카프릴글루코사이드,헥사펩타이드-11,폴리글리세릴-4카프레이트,락토바실러스/콜라겐/아이스플랜트잎추출물발효용해물,베르가모트오일,소듐바이카보네이트,복숭아추출물,커피콩추출물,팔마로사오일,소듐서팩틴,바실러스발효물,제라니올
하이드로제네이티드레시틴,카보머,헥사펩타이드-67팔미테이트,아이소펜틸다이올,베타-글루칸,다이소듐이디티에이,연꽃꽃추출물,팔마로사오일,카보머,글리세릴폴리메타크릴레이트,사과추출물,마트리카리아꽃추출물,포타슘세틸포스페이트,에탄올,알파-아이소메틸아이오논
스쿠알란,소듐구아이아줄렌설포네이트,헥사펩타이드-11,살리실릭애씨드,다이메틸실란올하이알루로네이트,아이리쉬모스추출물,하이드로제네이티드폴리데센,시트로넬라오일,소듐구아이아줄렌설포네이트,다이메틸실란올하이알루로네이트,매실추출물,알로에베라꽃추출물,소듐폴리아크릴로일다이메틸타우레이트,소듐벤조에이트,티타늄디옥사이드
하이드롤라이즈드소듐하이알루로네이트,에탄올,서양민들레잎추출물,폴리쿼터늄-51,폴리글리세릴-10올리에이트,락토바실러스발효물,엑토인,락토바실러스/인삼열매추출발효여과물,C12-20알킬글루코사이드,글루타티온,소듐아스코빌포스페이트,다이포타슘글리시리제이트,피이지-100스테아레이트,벤질벤조에이트,마이카
시어버터,C12-20알킬글루코사이드,복숭아추출물,피피지-13-데실테트라데세스-24,소듐하이알루로네이트다이메틸실란올,바실러스발효물,효모/자일리눔/홍차발효물,인도멀구슬나무잎추출물,폴리글리세릴-3스테아레이트,페룰릭애씨드,글루타티온,병풀추출물,피이지-60글리세릴아이소스테아레이트,메틸파라벤,적색산화철
호호바씨오일,피이지-100스테아레이트,멜론씨추출물,소듐디엔에이,팔미토일트라이펩타이드-1,소듐구아이아줄렌설포네이트,보검선인장줄기추출물,아이비고드열매추출물,폴리솔베이트20,카카오추출물,페룰릭애씨드,아시아티코사이드,폴리글리세릴-10에이코산다이오에이트/테트라데칸다이오에이트,변성알코올,베타-카로틴
해바라기씨오일,폴리아크릴레이트-13,다마스크장미꽃수,사이클로덱스트린,카퍼트라이펩타이드-1,에탄올,보검선인장꽃추출물,다이포타슘글리시리제이트,메틸파라벤,만다린껍질추출물,카카오추출물,아시아틱애씨드,폴리메틸실세스퀴옥세인,비스-피이지-15메틸에터다이메티콘,하이드롤라이즈드치자추출물
세라마이드엔피,폴리글리세릴-10에이코산다이오에이트/테트라데칸다이오에이트,백미꽃추출물,에톡시다이글라이콜,팔미토일펜타펩타이드-4,C14-22알코올,카카오씨추출물,홀리바질잎추출물,변성알코올,로즈마리잎오일,아보카도열매추출물,마데카식애씨드,폴리글리세릴-10스테아레이트,다이에톡시에틸석시네이트,합성플루오르플로고파이트
하이알루로닉애씨드,폴리솔베이트20,접시꽃추출물,프로테아제,아세틸테트라펩타이드-2,피씨에이다이메티콘,병풀추출물,참산호말추출물,데실글루코사이드,연어알추출물,토코페릴아세테이트,마데카소사이드,락토바실러스/콩발효추출물,아라비아고무나무검,아나토씨오일
소듐하이알루로네이트크로스폴리머,아크릴레이트/스테아릴메타크릴레이트코폴리머,퀸즈랜드넛오일,소듐서팩틴,팔미토일트라이펩타이드-5,사이클로펜타실록세인,아시아티코사이드,알로에베라꽃추출물,소듐스테아로일락틸레이트,칡꽃/잎/줄기추출물,귤껍질추출물,살리실릭애씨드,효모/감자추출물발효여과물,페녹시에탄올,황색산화철
포타슘하이알루로네이트,피이지-7글리세릴코코에이트,칼슘판테놀,포타슘세틸포스페이트,다이팔미토일하이드록시프롤린,폴리실리콘-11,아시아틱애씨드,피버퓨추출물,다이-C12-13알킬말레이트,팔미토일펜타펩타이드-4,캐모마일꽃추출물,바쿠치올,효모/보리씨발효여과물,클로페네신,틴옥사이드
글리세레스-26,피이지/피피지-17/6코폴리머,피토스핑고신,소듐폴리아크릴로일다이메틸타우레이트,하이드로제네이티드포스파티딜콜린,실리카,마데카식애씨드,병풀추출물,에틸헥산다이올,아세틸테트라펩타이드-2,동충하초추출물,유칼립투스잎추출물,락토바실러스/배즙발효여과물,프로필렌글라이콜다이카프레이트,자색201호
글리세릴글루코사이드,데실글루코사이드,아스코빌팔미테이트,티비에이치큐,팔미토일테트라펩타이드-7,소듐카보머,마데카소사이드,아시아티코사이드,아이소노닐아이소노나노에이트,팔미토일트라이펩타이드-5,구름버섯추출물,비사보롤,락토바실러스/인삼뿌리발효여과물,프로필렌카보네이트,청색1호
소듐아세틸레이티드하이알루로네이트,소듐라우레이트,아이리쉬모스추출물,아라키딜알코올,하이드록시피나콜론레티노에이트,소듐벤조에이트,갈락토미세스/진흙버섯추출발효여과물,아시아틱애씨드,소듐포스페이트,비사보롤,에피갈로카테킨갈레이트,페퍼민트오일,락토바실러스/호밀가루발효물,소듐메타바이설파이트,적색225호
하이드롤라이즈드스클레로튬검,다이-C12-13알킬말레이트,보검선인장줄기추출물,아라키딜글루코사이드,아세틸테트라펩타이드-9,메틸글루코오스세스퀴스테아레이트,동충하초추출물,마데카식애씨드,다이소듐스테아로일글루타메이트,아세틸글루코사민,퀴논,동충하초추출물,락토바실러스/부레옥잠발효물,트라이소듐에틸렌다이아민다이석시네이트,카라멜
하이드롤라이즈드호호바에스터,에틸헥산다이올,보검선인장꽃추출물,피이지-40스테아레이트,콜라겐,소듐하이드록사이드,우스니아추출물,마데카소사이드,아크릴레이트/스테아릴아크릴레이트/다이메티콘메타크릴레이트코폴리머,스핑고리피드,트록세루틴,동백나무잎추출물,락토바실러스/고추냉이뿌리발효추출물,벤질알코올,흑색산화철
하이드롤라이즈드글라이코사미노글리칸,아이소노닐아이소노나노에이트,보검선인장씨오일,소듐팔모일글루타메이트,레티닐레티노에이트,티타늄디옥사이드,할미꽃추출물,바쿠치올,아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머,니코틴아마이드아데닌다이뉴클레오타이드,베타-카로틴,할미꽃추출물,락토바실러스/석류발효추출물,하이드록시아이소헥실3-사이클로헥센카복스알데하이드,비스머스옥시클로라이드
다이메틸실란올하이알루로네이트,폴리솔베이트80,카카오씨추출물,폴리아이소부텐,트라이펩타이드-1,마이카,에피갈로카테킨갈레이트,유칼립투스잎추출물,아크릴레이트/다이메티콘코폴리머,비피다발효용해물,포도주추출물,글리시레티닉애씨드,효모발효추출물,데하이드로아세틱애씨드,페릭페로시아나이드
소듐하이알루로네이트다이메틸실란올,폴리솔베이트40,스페인감초뿌리추출물,아이소도데케인,트라이펩타이드-29,적색산화철,헥실데실에틸헥사노에이트,캐모마일꽃추출물,소듐라우로일글루타메이트,페루가순환추출물,꿀추출물,비피다발효용해물,효모/포도발효추출물,락토바실러스/아세로라체리발효물,울트라마린
다마스크장미꽃오일,소듐포스페이트,인도멀구슬나무잎추출물,소듐폴리아크릴레이트,헥사펩타이드-12,에틸헥실스테아레이트,마시멜로뿌리추출물,페퍼민트오일,폴리부텐,베타-카로틴,레스베라트롤,요엽후박나무껍질추출물,모나스커스/쌀발효물,락토코쿠스발효물,망가니즈바이올렛
카프릴릭/카프릭트라이글리세라이드,제올라이트,인도멀구슬나무꽃추출물,폴리글리세릴-10스테아레이트,니코티노일트라이펩타이드-35,올레익애씨드,각시둥굴레뿌리줄기/뿌리추출물,시호뿌리추출물,에틸셀룰로오스,자주개자리추출물,로즈힙열매오일,자주개자리추출물,아라비아고무나무검,페닐프로판올,자수정가루
트레할로오스,소듐코코일알라니네이트,마트리카리아꽃추출물,폴리우레탄-15,노나펩타이드-7,비스-피이지-18메틸에터다이메틸실레인,참당귀뿌리추출물,신갈나무잎추출물,에틸렌/프로필렌/스타이렌코폴리머,하이드록시피나콜론레티노에이트,포도씨오일,스타아니스추출물,알파-글루칸올리고사카라이드,부틸옥틸살리실레이트,사파이어가루
자일리틸글루코사이드,아크릴레이트코폴리머,울금뿌리추출물,소듐아크릴레이트/비닐알코올코폴리머,팔미토일트라이펩타이드-29,비스-피이지-15메틸에터다이메티콘,하수오뿌리추출물,개서어나무잎추출물,부틸렌/에틸렌/스타이렌코폴리머,하이드롤라이즈드치자추출물,만수국아재비꽃오일,서양고추나물꽃/잎/줄기추출물,락토바실러스,디에칠아미노하이드록시벤조일헥실벤조에이트,실크가루
안하이드로자일리톨,스테아랄코늄헥토라이트,구아이아줄렌,소듐아크릴릭애씨드/엠에이코폴리머,벼에스에이치-올리고펩타이드-1,레몬껍질오일,산수유열매추출물,소엽맥문동뿌리추출물,벤조트라이아졸릴도데실p-크레솔,하이드롤라이즈드맥아추출물,크랜베리추출물,실론시나몬나무껍질오일,소듐데하이드로아세테이트,에틸파라벤,칼라민
글리세릴카프릴레이트,소듐라우로일글루타메이트,소듐스테아로일글루타메이트,피토스테릴/옥틸도데실라우로일글루타메이트,하이드롤라이즈드쌀단백질,스테아릴글리시레티네이트,연꽃캘러스배양추출물,왜당귀뿌리추출물,암모늄하이드록사이드,하이드롤라이즈드삼색제비꽃추출물,아사이팜열매추출물,쓴박하추출물,아이소세테스-20,프로필파라벤,등색205호
자작나무수액,라우릴피씨에이,포도추출물,소듐올리에이트,하이드롤라이즈드루핀단백질,콜레스테릴노나노에이트,연꽃잎세포배양가루,동백나무잎추출물,다이소듐라우레스설포석시네이트,흑효모발효물,빌베리열매추출물,고수열매/잎추출물,다이페닐실록시페닐트라이메티콘,부틸파라벤,적색102호
메틸글루세스-20,피이지-8,커피콩추출물,아이소프로필미리스테이트,하이드롤라이즈드식물성단백질,폴리글리세릴-6스테아레이트,아스파라곱시스 아르마타추출물,구름버섯추출물,다이에틸헥실소듐설포석시네이트,레스베라트롤,아르간커넬오일,클로브꽃추출물,암모늄폴리아크릴로일다이메틸타우레이트,벤조익애씨드,황색4호
프룩탄,암모늄폴리아크릴레이트,초피나무열매추출물,헥실데칸올,세테아릴에틸헥사노에이트,폴리글리세릴-6베헤네이트,하이드록시피나콜론레티노에이트,알로에베라잎즙,소듐코코일글라이시네이트,서양고추나물꽃추출물,비타민나무열매오일,카멜그라스추출물,폴리비닐알코올,페닐벤즈이미다졸설포닉애씨드,적색226호
폴리글리세린-3,소듐라우레스-12설페이트,사과추출물,아이소프로필팔미테이트,노나펩타이드-1,폴리글리세릴-10다이스테아레이트,레티놀,커먼자스민추출물,소듐메틸코코일타우레이트,트라넥사믹애씨드,흰서양송로추출물,쑥잎추출물,폴리에스터-5,클로헥시딘다이글루코네이트,적색202호
사카라이드아이소머레이트,소듐라우릴설페이트,매실추출물,다이펜타에리스리틸헥사카프릴레이트/헥사카프레이트,아세틸헵타펩타이드-4,소듐폴리아스파테이트,트라넥사믹애씨드,귀리커넬추출물,코코-베타인,아세틸옥타펩타이드-3,달맞이꽃오일,양배추추출물,소듐아스코베이트,아이오도프로피닐부틸카바메이트,적색104호의(2)
에틸헥실팔미테이트,다이소듐라우레스설포석시네이트,파파야열매추출물,트라이데실스테아레이트,아세틸옥타펩타이드-3,알루미늄/마그네슘하이드록사이드스테아레이트,아스코빅애씨드,포트마리골드꽃추출물,라우릴베타인,크랜베리추출물,브로콜리추출물,병풀잎추출물,트라이라우레스-4포스페이트,프로필갈레이트,황색5호
세틸에틸헥사노에이트,라우레스-25,치자추출물,트라이데실트라이멜리테이트,트라넥사모일다이펩타이드-23,다이카프릴릴카보네이트,하이드롤라이즈드홍삼사포닌,개박하추출물,라우릴하이드록시설테인,비치스트로베리추출물,포도즙추출물,서양고추나물꽃추출물,폴리글리세릴-2스테아레이트,피이지-10피토스테롤,적색104호의(1)
하이드로제네이티드식물성오일,다이에틸헥실소듐설포석시네이트,생강추출물,하이드로제네이티드올리브오일스테아릴에스터,트라넥사모일다이펩타이드-22,비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머,유비퀴논,라즈베리잎추출물,라우릴글루코사이드,스피어민트잎오일,녹차씨오일,애기달맞이꽃추출물,폴리글리세릴-2아이소스테아레이트/다이머다이리놀리에이트코폴리머,다이아이소프로필다이머다이리놀리에이트,적색201호
망고씨버터,소듐코코일글라이시네이트,회향씨추출물,피이지-10다이메티콘,니코티노일트라이펩타이드-1,다이스테아다이모늄헥토라이트,금송뿌리추출물,와일드인디고뿌리추출물,포타슘코코일글리시네이트,콘민트오일,카페오일트라이펩타이드-1,인삼꽃추출물,폴리글리세릴-3폴리리시놀리에이트,아이소부틸파라벤,적색220호
꿀,소듐메틸코코일타우레이트,샤프란꽃추출물,피이지-32,니코티노일다이펩타이드-22,다이메티콘크로스폴리머,흰서양송로추출물,레이디스맨틀잎추출물,포타슘코코에이트,프로방스장미꽃수,아스코빅애씨드폴리펩타이드,붉나무충영추출물,폴리글리세릴-3리시놀리에이트,부틸파라벤,등색201호
몰로키아잎추출물,코코-베타인,소두구씨추출물,피이지-6,테트라펩타이드-44,암모늄폴리아크릴로일다이메틸타우레이트,제올라이트,삼색제비꽃추출물,소듐코코에이트,제주진득찰추출물,레티닐팔미테이트,천궁뿌리추출물,폴리글리세릴-4다이아이소스테아레이트/폴리하이드록시스테아레이트/세바케이트,벤즈이미다졸다이아몬드아미도에틸우레아카바모일프로필폴리메틸실세스퀴옥세인,적색223호
당근추출물,라우릴베타인,영지버섯줄기추출물,폴리프로필실세스퀴옥세인,펜타펩타이드-13,소듐팔미토일프롤린,다이세테아다이모늄헥토라이트,다마스크장미꽃추출물,소듐코코일이세티오네이트,흰서양송로추출물,비타민나무오일,황벽나무껍질추출물,스테아로일이눌린,포타슘벤조에이트,적색227호
보리지추출물,라우릴하이드록시설테인,병풀추출물,폴리에틸렌,트라이펩타이드-32,프로폴리스추출물,스피드웰추출물,메도우스위트꽃추출물,소듐코코일애플아미노산,멕시칸치아씨추출물,바오밥나무씨오일,금송뿌리추출물,호박가루,소듐팔미테이트,황색203호
팔미토일펜타펩타이드-4,라우릴글루코사이드,편백오일,나일론-12,니코티노일다이펩타이드-24,로얄젤리추출물,소듐아세테이트,육계나무껍질추출물,다이소듐코코암포다이아세테이트,녹차수,아스코빌테트라이소팔미테이트,티트리추출물,소듐라우로일글루타메이트,벤잘코늄클로라이드,카민
아세틸테트라펩타이드-2,포타슘코코일글리시네이트,달맞이꽃꽃추출물,소듐라우로일락틸레이트,니코티노일다이펩타이드-23,티트리추출물,스트렙토코쿠스 테르모필루스발효물,방풍뿌리추출물,폴리쿼터늄-67,쑥추출물,검은서양송로추출물,캐모마일꽃오일,피이지/피피지-20/15다이메티콘,메틸2-옥티노에이트,청동가루
팔미토일트라이펩타이드-5,포타슘코코에이트,대왕소나무잎추출물,아이소세틸스테아레이트,아세틸펜타펩타이드-1,올리브나무잎추출물,락토바이오닉애씨드,복령균핵추출물,폴리글리세릴-6카프릴레이트,다시마추출물,흑미추출물,오레가노추출물,페네틸알코올,페러스설페이트,구리가루
스쿠알렌,소듐코코에이트,칡뿌리추출물,스테아릴헵타노에이트,아미노프로필아스코빌포스페이트,레몬그라스추출물,카페오일트라이펩타이드-1,요엽후박나무껍질추출물,피이지-4다이라우레이트,알로에베라잎수,두송열매추출물,쑥추출물,소듐살리실레이트,폴리글리세릴-3다이스테아레이트,적색218호
올리브오일,소듐코코일이세티오네이트,당느릅나무뿌리추출물,스테아릴카프릴레이트,에스에이치-올리고펩타이드-1,살비아추출물,황련추출물,자주개자리추출물,벤잘코늄클로라이드,비타민나무열매추출물,레몬추출물,블랙윌로우나무껍질추출물,소듐폴리글루타메이트크로스폴리머,폴리글리세릴-2다이폴리하이드록시스테아레이트,적색103호의(1)
보리지씨오일,소듐라우로일이세티오네이트,버지니아풍년화추출물,실리카실릴레이트,알에이치-올리고펩타이드-2,오레가노추출물,포트마리골드추출물,스타아니스추출물,아이소프로필알코올,쿠마린,오렌지추출물,비타민나무열매추출물,비스-C16-18알킬글리세릴운데실다이메티콘,폴리글리세릴-10다이라우레이트,적색504호
카놀라오일,다이소듐라우릴설포석시네이트,아시아티코사이드,아크릴레이트/다이메티콘코폴리머,알에이치-폴리펩타이드-1,네오펜틸글라이콜다이헵타노에이트,참당귀추출물,라벤더꽃추출물,규조토,다이메틸메톡시크로마닐팔미테이트,설탕단풍추출물,보스웰리아오일,다이펜타에리스리틸펜타아이소스테아레이트,에틸멘탄카복사마이드,녹색202호
동백나무씨오일,코코넛애씨드,아시아틱애씨드,스테아로일이눌린,팔미토일다이펩타이드-7,비타민나무열매추출물,블루플래그아이리스추출물,서양고추나물꽃/잎/줄기추출물,씨솔트,포스포리피드,포도씨추출물,자색201호,글루코만난,카프릴릴트라이메티콘,딸기가루
동백나무잎추출물,소듐C14-16올레핀설포네이트,마데카식애씨드,다이머다이리놀레일다이머다이리놀리에이트,하이드롤라이즈드엘라스틴,알파-비사보롤,동백나무꽃추출물,실론시나몬나무껍질오일,C13-16아이소파라핀,오리스뿌리추출물,석류과피추출물,세라마이드엔에스,소듐콘드로이틴설페이트,포타슘C12-13알킬포스페이트,카카오열매가루
갈락토미세스/진흙버섯추출발효여과물,소듐이세티오네이트,마데카소사이드,쌀겨오일,카페오일트라이펩타이드-1,다이메틸메톡시크로마닐팔미테이트,동백나무씨추출물,쓴박하추출물,피이지-8라우레이트,검은서양송로추출물,홍차추출물,세라마이드에이에스,소듐코코일이세티오네이트,폴리글리세릴-5트라이올리에이트,약모밀가루
글리세릴리놀리에이트,소듐팔미테이트,피토스테롤,다이스테아릴다이모늄클로라이드,아세틸테트라펩타이드-3,징크옥사이드,흑삼추출물,고수열매/잎추출물,소듐세테아릴설페이트,서양산딸기추출물,아스코빌글루코사이드,검은서양송로추출물,소듐코코에이트,이미다졸리디닐우레아,스위트아몬드씨가루
글리세릴리놀리네이트,소듐스테아레이트,감자추출물,트라이에톡시실릴에틸폴리다이메틸실록시에틸헥실다이메티콘,아스코빅애씨드폴리펩타이드,에칠헥실살리실레이트,검은서양송로추출물,클로브꽃추출물,소듐라우레스-6카복실레이트,흑미추출물,에틸아스코빌에텔,서양송악추출물,소듐팔메이트,아나토씨추출물,프로방스장미꽃
글리세릴아라키도네이트,소듐라우릴글루코오스카복실레이트,소듐아스코빌포스페이트,에이치디아이/트라이메틸올헥실락톤크로스폴리머,레티닐팔미테이트,호모살레이트,서양산딸기추출물,카멜그라스추출물,폴리쿼터늄-73,검은깨추출물,자몽껍질오일,쐐기풀잎추출물,소듐팜커넬레이트,소목줄기가루,백금가루
소엽맥문동뿌리추출물,다이소듐코코일글루타메이트,살비아오일,브이피/헥사데센코폴리머,펜타펩타이드-18,옥토크릴렌,약작약꽃추출물,쑥잎추출물,폴리쿼터늄-11,팔미토일프롤린,리씨열매오일,라벤더꽃/잎/줄기추출물,다이소듐코코암포다이아세테이트,디아졸리디닐우레아,피이지-5레이프씨드스테롤
왜당귀뿌리추출물,코코-글루코사이드,클레리오일,C30-45알킬다이메틸실릴폴리프로필실세스퀴옥세인,세라마이드엔지,비스-에칠헥실옥시페놀메톡시페닐트리아진,꿀풀추출물,양배추추출물,폴리쿼터늄-47,에난티아 클로란타껍질추출물,고수열매오일,코코넛야자열매추출물,다이소듐코코일글루타메이트,메칠클로로이소치아졸리논,카나우바왁스추출물
피이지-60글리세릴아이소스테아레이트,소듐미리스토일글루타메이트,로즈마리잎오일,다이부틸아디페이트,아스코빌테트라이소팔미테이트,마그네슘/포타슘/실리콘/플루오라이드/하이드록사이드/옥사이드,팔미토일프롤린,병풀잎추출물,폴리쿼터늄-80,레몬추출물,토르말린,체이스트트리추출물,다이포타슘포스페이트,에탄올아민,로즈힙꽃오일
코코-카프릴레이트/카프레이트,다이소듐코코암포다이아세테이트,연어알추출물,폴리글리세릴-2다이아이소스테아레이트,팔미토일프롤린,알루미늄미리스테이트,티트리잎추출물,알쏭이모자반추출물,폴리쿼터늄-76,오렌지추출물,석류씨오일,티트리잎추출물,다이포타슘이디티에이,디엠디엠하이단토인,벤조페논-4
호호바에스터,벤잘코늄클로라이드,약모밀추출물,소듐다이라우미도글루타미드라이신,하이드롤라이즈드산호,탤크,효모/율무씨발효여과물,청각추출물,폴리쿼터늄-73,설탕단풍추출물,비타민나무추출물,로즈마리추출물,소듐글루코네이트,메칠이소치아졸리논,에틸라우로일알지네이트하이드로클로라이드
만니톨,피피지-2-데세스-7,쇠비름추출물,마그네슘미리스테이트,진주추출물,테트라소듐이디티에이,락토바실러스/쌀발효물,폴스애플민트잎추출물,라우레스-3,코코넛야자열매추출물,복분자딸기열매추출물,불가리스쑥오일,효모폴리펩타이드,피이지-75,자색401호
세테아릴올리베이트,피이지-4다이라우레이트,카카오추출물,알루미늄전분옥테닐석시네이트,다이아몬드가루,에틸파라벤,락토바실러스/홍삼발효여과물,서양고추나물꽃추출물,피피지-2데세스-12,포도씨추출물,큰노랑용담뿌리추출물,홍차추출물,스피룰리나 플라텐시스추출물,포타슘카보네이트,황색204호
세틸팔미테이트,스테아트라이모늄메토설페이트,아보카도열매추출물,피이아이-10,토파즈,프로필파라벤,퀴노아씨추출물,이리추출물,피이지-14M,호호바잎추출물,쓴쑥추출물,천궁추출물,폴리글리세릴-10베헤네이트/에이코사디오에이트,스테아록시프로필트라이모늄클로라이드,적색2호
솔비탄팔미테이트,아이소프로필알코올,두충나무껍질추출물,스테아레스-20,루비가루,부틸파라벤,와일드얌뿌리추출물,마늘소포,변성알코올39-C,대추야자씨,아스코빌다이팔미테이트,매실나무꽃추출물,하이드로제네이티드스타치하이드롤리세이트,디나토늄벤조에이트,등색206호
솔비탄올리베이트,규조토,만다린껍질추출물,솔비탄세스퀴아이소스테아레이트,에스에이치-폴리펩타이드-1,에틸렌/프로필렌코폴리머,생열귀나무싹추출물,히비스커스꽃추출물,변성알코올40,침향나무줄기추출물,로즈힙열매추출물,산양삼추출물,바실러스/소이빈발효추출물,변성알코올39-C,녹색401호
하이드로제네이티드폴리아이소부텐,씨솔트,글루타티온,폴리실리콘-2,에스에이치-데카펩타이드-7,마이크로크리스탈린셀룰로오스,에델바이스캘러스배양추출물,캐모마일꽃수,다이메틸에터,치자나무꽃추출물,라임꽃추출물,에델바이스캘러스배양추출물,에틸페룰레이트,변성알코올40,녹색201호
하이드록시프로필비스팔미타마이드엠이에이,헥토라이트,페룰릭애씨드,실리카다이메티콘실릴레이트,에스에이치-옥타펩타이드-4,티타늄/티타늄다이옥사이드,벼캘러스배양추출물,알로에베라잎즙가루,다이메틸이미다졸리다이논쌀전분,메도우스위트추출물,블랙체리열매추출물,아젤라익애씨드,피이지-30스테아레이트,벤조일아이소프로판올,녹색3호
하이드록시프로필비스라우라마이드엠이에이,소듐폴리스타이렌설포네이트,로우스위트블루베리추출물,아이소에이코산,에스에이치-올리고펩타이드-9,에칠헥실트리아존,토마토캘러스배양추출물,자작나무잎추출물,디나토늄벤조에이트,석류과피추출물,패션프룻열매추출물,소듐살리실레이트,소듐아니세이트,셀룰로오스아세테이트부티레이트,흑색401호
아세틸글루코사민,폴리C10-30알킬아크릴레이트,라즈베리추출물,다이메티콘/피이지-10/15크로스폴리머,에스에이치-펜타펩타이드-19,디에칠헥실부타미도트리아존,마돈나백합잎세포추출물,드럼스틱씨추출물,메틸락테이트,서양자두씨추출물,까무까무열매추출물,감국꽃추출물,피피지-5-세테스-20,부틸아세테이트,적색40호
